,Macro F-measure,CHI,FEM,KCHI,MAL,SPEECH
,%,,,,,
item,,,,,,
test/tsimane_C04_C05_M03_20170707_2040,55.90189010567207,0.16457388437343592,0.0,0.7692404858023161,1.0,0.8612801351078516
test/tsimane_C04_C05_M03_20170707_27240,60.82522634719481,0.5331429867942065,0.0,0.6133606941038989,1.0,0.8947576364616349
test/tsimane_C04_C05_M03_20170707_30840,56.13594567560378,0.0,0.6723321926001449,0.5096651238769403,1.0,0.6247999673031037
test/tsimane_C04_C05_M03_20170707_34440,58.07928540915256,0.1551650884371161,0.4689761652031262,0.4340137887118697,1.0,0.8458092281055158
test/tsimane_C04_C05_M03_20170707_38040,46.22171957797161,1.0,0.6076742148862941,0.0,0.0,0.7034117640122867
test/tsimane_C04_C05_M03_20170707_41640,79.82090243981955,1.0,1.0,0.465101421498163,1.0,0.525943700492814
test/tsimane_C04_C05_M03_20170707_45240,93.02473277709397,1.0,1.0,1.0,0.7730252689198637,0.8782113699348352
test/tsimane_C04_C05_M03_20170707_56040,60.0,1.0,1.0,0.0,1.0,0.0
test/tsimane_C04_C05_M03_20170707_5640,37.40814594948202,0.0,1.0,0.45471328795765,0.0,0.415694009516451
test/tsimane_C04_C05_M03_20170707_9240,62.21196265130725,0.7324857701829138,0.0,0.5809894758797692,1.0,0.7971228865026795
test/tsimane_C10_20170709_12840,24.84730190362762,0.0,0.43138388750164247,0.15467638263499756,0.0,0.6563048250447409
